transaction_id,amount,merchant,location,time,is_fraud
T1001,150.00,Amazon,New York,2023-01-15 09:30:00,0
T1002,2500.00,BestBuy,California,2023-01-15 10:15:00,1
T1003,75.50,Starbucks,Chicago,2023-01-15 11:45:00,0
T1004,1200.00,Apple Store,Texas,2023-01-15 12:30:00,1
T1005,45.25,Walmart,Florida,2023-01-15 14:00:00,0
T1006,3000.00,Gucci,New York,2023-01-15 15:30:00,1
T1007,89.99,Target,Ohio,2023-01-15 16:45:00,0
T1008,1800.00,Louis Vuitton,California,2023-01-15 18:00:00,1
T1009,25.00,McDonald's,Illinois,2023-01-15 19:15:00,0
T1010,5000.00,Tiffany,New York,2023-01-15 20:30:00,1
T1011,65.00,Subway,Boston,2023-01-16 08:15:00,0
T1012,95.00,CVS,Philadelphia,2023-01-16 09:30:00,0
T1013,2200.00,Rolex,Miami,2023-01-16 10:45:00,1
T1014,35.00,Dunkin,Washington,2023-01-16 11:00:00,0
T1015,1500.00,Samsung,Atlanta,2023-01-16 12:15:00,1
T1016,55.00,Home Depot,Dallas,2023-01-16 13:30:00,0
T1017,2800.00,Chanel,Las Vegas,2023-01-16 14:45:00,1
T1018,75.00,Petco,Seattle,2023-01-16 15:00:00,0
T1019,3200.00,Hermes,San Francisco,2023-01-16 16:15:00,1
T1020,40.00,7-Eleven,Denver,2023-01-16 17:30:00,0
T1021,180.00,Whole Foods,Phoenix,2023-01-17 08:45:00,0
T1022,2100.00,Microsoft,Detroit,2023-01-17 10:00:00,1
T1023,50.00,Staples,Minneapolis,2023-01-17 11:15:00,0
T1024,1900.00,Coach,San Diego,2023-01-17 12:30:00,1
T1025,65.00,Kroger,Portland,2023-01-17 13:45:00,0
T1026,4200.00,Prada,Orlando,2023-01-17 15:00:00,1
T1027,85.00,Best Buy,Charlotte,2023-01-17 16:15:00,0
T1028,2300.00,Omega,Indianapolis,2023-01-17 17:30:00,1
T1029,45.00,Costco,Columbus,2023-01-18 08:45:00,0
T1030,3800.00,Burberry,San Antonio,2023-01-18 10:00:00,1
T1031,55.00,Trader Joe's,Memphis,2023-01-18 11:15:00,0
T1032,2700.00,Vertu,Baltimore,2023-01-18 12:30:00,1
T1033,95.00,REI,Boston,2023-01-18 13:45:00,0
T1034,3100.00,Armani,Philadelphia,2023-01-18 15:00:00,1
T1035,25.00,Dollar General,Miami,2023-01-18 16:15:00,0
T1036,2900.00,Bulgari,Washington,2023-01-18 17:30:00,1
T1037,75.00,Office Depot,Atlanta,2023-01-19 08:45:00,0
T1038,3300.00,Fendi,Dallas,2023-01-19 10:00:00,1
T1039,35.00,ALDI,Las Vegas,2023-01-19 11:15:00,0
T1040,4100.00,Van Cleef,Seattle,2023-01-19 12:30:00,1
T1041,65.00,Safeway,San Francisco,2023-01-19 13:45:00,0
T1042,2400.00,Audemars Piguet,Denver,2023-01-19 15:00:00,1
T1043,85.00,Best Buy,Phoenix,2023-01-19 16:15:00,0
T1044,3600.00,Bottega Veneta,Detroit,2023-01-19 17:30:00,1
T1045,45.00,PetSmart,Minneapolis,2023-01-20 08:45:00,0
T1046,3900.00,Rolex,San Diego,2023-01-20 10:00:00,1
