Product_ID,Name,Category,Price,Rating,Reviews,Stock_Availability
P1000,Doll,Fashion,80.17,2,"Value for money, satisfied with the purchase.",Out of Stock
P1001,Smartphone,Electronics,162.39,3.4,"Quality is okay, could be better.",Out of Stock
P1002,T-Shirt,Fashion,184.34,4.5,"Value for money, satisfied with the purchase.",Available
P1003,Board Game,Fashion,308.1,4.1,"Not as described, a bit disappointed.",Available
P1004,Laptop,Home Appliances,479.9,2.6,"Value for money, satisfied with the purchase.",Available
P1005,Blender,Fashion,266.93,3.1,Excellent! Will buy again.,Available
P1006,Novel,Toys,486.49,2.9,Excellent! Will buy again.,Available
P1007,Novel,Fashion,237.82,2.5,"Value for money, satisfied with the purchase.",Out of Stock
P1008,Blender,Electronics,460.93,1,"Not as described, a bit disappointed.",Available
P1009,Novel,Home Appliances,233.33,3.2,"Quality is okay, could be better.",Out of Stock
P1010,Doll,Toys,73.21,4.7,"Not as described, a bit disappointed.",Available
P1011,Laptop,Fashion,404.53,3.1,"Not as described, a bit disappointed.",Out of Stock
P1012,Smartphone,Home Appliances,79.76,1.4,Great product! Highly recommend.,Available
P1013,Novel,Fashion,137.38,2.8,"Value for money, satisfied with the purchase.",Out of Stock
P1014,Board Game,Toys,25.34,3.8,Great product! Highly recommend.,Out of Stock
P1015,Smartphone,Electronics,376.98,2.5,Great product! Highly recommend.,Available
P1016,Blender,Toys,77.36,2.7,Excellent! Will buy again.,Available
P1017,Board Game,Toys,41.83,4.8,Great product! Highly recommend.,Out of Stock
P1018,Refrigerator,Toys,473,1.5,"Not as described, a bit disappointed.",Out of Stock
P1019,T-Shirt,Electronics,113.24,3,Great product! Highly recommend.,Available
P1020,Refrigerator,Fashion,331.31,3.5,"Not as described, a bit disappointed.",Available
P1021,Novel,Electronics,346.29,4.4,Excellent! Will buy again.,Available
P1022,Refrigerator,Books,375.59,1.8,"Value for money, satisfied with the purchase.",Available
P1023,Laptop,Toys,367.07,4.7,"Not as described, a bit disappointed.",Out of Stock
P1024,Blender,Electronics,399.89,4.5,"Value for money, satisfied with the purchase.",Out of Stock
P1025,Doll,Home Appliances,151.73,4.5,Excellent! Will buy again.,Out of Stock
P1026,Refrigerator,Books,314.52,3,Great product! Highly recommend.,Out of Stock
P1027,Shoes,Books,459.69,1.9,Great product! Highly recommend.,Available
P1028,Novel,Toys,442.35,4.3,"Not as described, a bit disappointed.",Available
P1029,Board Game,Electronics,396.83,1.7,"Quality is okay, could be better.",Available
P1030,Refrigerator,Home Appliances,450.34,4.5,"Quality is okay, could be better.",Out of Stock
P1031,Headphones,Books,129.17,4.5,Great product! Highly recommend.,Available
P1032,T-Shirt,Electronics,469.64,1.2,"Quality is okay, could be better.",Available
P1033,Doll,Fashion,220.44,2.1,Excellent! Will buy again.,Out of Stock
P1034,Novel,Books,78.69,2.4,"Quality is okay, could be better.",Out of Stock
P1035,T-Shirt,Fashion,353.92,1.8,Excellent! Will buy again.,Out of Stock
P1036,Smartphone,Home Appliances,222.29,3.8,"Quality is okay, could be better.",Out of Stock
P1037,Smartphone,Home Appliances,445.58,1.6,"Value for money, satisfied with the purchase.",Available
P1038,Refrigerator,Books,286.33,4.7,"Value for money, satisfied with the purchase.",Out of Stock
P1039,Laptop,Electronics,394.08,3.8,"Not as described, a bit disappointed.",Available
P1040,Novel,Electronics,405.36,4.8,"Not as described, a bit disappointed.",Available
P1041,Board Game,Electronics,412.04,1.7,Excellent! Will buy again.,Out of Stock
P1042,Smartphone,Fashion,38.68,4.9,"Not as described, a bit disappointed.",Out of Stock
P1043,Board Game,Books,331.17,4.9,"Quality is okay, could be better.",Out of Stock
P1044,Shoes,Toys,117.72,3.3,"Quality is okay, could be better.",Out of Stock
P1045,T-Shirt,Toys,275.64,1,Great product! Highly recommend.,Available
